index,İlan Başlığı,Semt,Mahalle,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
124,KRİSTAL İNŞAAT'TAN OSMANGAZİ MAHALLESİNDE KELEPİR DAİRE!!!!, Sancaktepe, Osmangazi Mahallesi,2+1,0,5,Giriş,110,1,0,KombiDoğalgaz,255000
125,BEYLİKDÜZÜ CUMHURİYET'TE  SİTE İÇİ GİYİNME ODALI METROBÜS KONUMLU, Beylikdüzü, Cumhuriyet Mahallesi,3+1,2,8,4. Kat,130,2,0,KombiDoğalgaz,315000
126, İLKE'DEN SAHİLDE MARMARAYA 2DK MESAFEDE 7 YILLIK ÖNCEPHE 1+1, Maltepe, İdealtepe Mahallesi,1+1,5-10,4,Bahçe Katı,50,1,0,KombiDoğalgaz,545000
127,BEYLİKDÜZÜ ADNANKAHVECİ BULVAR ÜZERİNDE 2+1 120 m² SATILIK DAİRE, Beylikdüzü, Adnan Kahveci Mahallesi,2+1,5-10,11,5. Kat,140,2,0,KombiDoğalgaz,765000
128, MARİN İNŞAAT'TAN METROBÜSE YAKIN YATIRIM İÇİN BİRE BİR DAİRELER!, Esenyurt, Güzelyurt Mahallesi,3+1,0,6,1. Kat,130,2,0,KombiDoğalgaz,270000
129," BAHÇELİEVLER BAHÇELİNİZAM SATILIK, YENİ BİNADA LÜKS DUBLEKS", Bahçelievler, Bahçelievler Mahallesi,5+1,5-10,3,Çatı Dubleks,180,2,0,KombiDoğalgaz,2250000
130,TUZLA MERCAN DA DENİZ MANZARALI ULTRA LUXS DUPLEKS 4+1(230 M2), Tuzla, Postane Mahallesi,4+1,0,3,3. Kat,230,3,0,KombiDoğalgaz,1745000
131,GRİ`DEN MERCAN DA 2+1 BAHCE KATI DAİRE (60M2 BAHCE KULLANIMLI), Tuzla, Postane Mahallesi,2+1,0,3,Bahçe Katı,105,2,0,KombiDoğalgaz,1250000
132, #idealtepe #satılıkdaire Yeni binada bahçe kulanımlı 2+1 , Maltepe, Altıntepe Mahallesi,2+1,4,4,Giriş,85,1,0,KombiDoğalgaz,695000
133,NOFT YAPI'DAN SATILIK METROBÜSE YÜRÜME MESAFESİNDE TERS DUBLEKS , Esenyurt, Güzelyurt Mahallesi,5+2,2,5,Bahçe Dublex,200,3,0,KombiDoğalgaz,489000
134, GAZİOSMANPAŞA MEVLANA MAH SİTE İÇİ SATILIK 3+1 DAİRE, Gaziosmanpaşa, Mevlana Mahallesi,3+1,11-20,4,1. Kat,150,1,0,KombiDoğalgaz,850000
135,BLUE LAKE 3+1 B BLOK 5. KAT FULL GÖL MANZARALI KONUM! MEGA, Küçükçekmece, Fatih Mahallesi,3+1,2,15,5. Kat,144,2,0,Merkezi(PayÖlçer),3000000
136,BLUE LAKE 2+1 C BLOK 10. KAT FULL GÖL MANZARALI KONUM! MEGA, Küçükçekmece, Fatih Mahallesi,2+1,2,15,10-20,125,2,0,Merkezi(PayÖlçer),3250000
137,MARİN İNŞAATTAN KREDİYE TAKASA UYGUN BU DAİRE FIRSATI KAÇMAZ!!!, Esenyurt, Mehmet Akif Ersoy Mahallesi,1+1,2,5,1. Kat,85,1,0,KombiDoğalgaz,154000
138, ERYAMAN İNŞAATTAN MERKEZİ KONUMDA 3+1 SATILIK  FIRSAT DAİRE !!, Esenyurt, Cumhuriyet Mahallesi,3+1,0,15,6. Kat,130,2,0,KombiDoğalgaz,273000
139, ŞİŞLİ MECİDİYEKÖYDE 60m2 1+1 TERASLI KOMBİLİ ASANSÖRLÜ FERAH, Şişli, Mecidiyeköy Mahallesi,1+1,20,7,7. Kat,60,1,0,KombiDoğalgaz,475000
140,BİGA DAN SANCAKTEPEDE SATILIK ÖN CEPHE 3+1 ARAKAT DAİRE, Sancaktepe, Fatih Mahallesi,3+1,3,3,1. Kat,140,1,0,KombiDoğalgaz,450000
141, GAZİOSMANPAŞA KAZIMKARABEKİR MAH SATILIK 2+1 DAİRE, Gaziosmanpaşa, Kazım Karabekir Mahallesi,2+1,11-20,3,Giriş,105,1,0,KombiDoğalgaz,300000
142,"Cadde Üstü, Kat Mülkiyet Tapulu, 2+1, Fırsat Daire ...", Güngören, Merkez Mahallesi,2+1,20,4,1. Kat,90,1,0,KombiDoğalgaz,370000
143,BEYLİKDÜZÜ BAŞKENT YAPI'DAN MERKEZİ LOKASYONDA ŞIK TASARIMLI 2+1, Beylikdüzü, Cumhuriyet Mahallesi,2+1,1,5,2. Kat,110,2,0,KombiDoğalgaz,299000
144,BEYLİKDÜZÜ BAŞKENT YAPI'DAN METROBÜSE 7DK FULL DEKORASYONLU 2+1, Beylikdüzü, Cumhuriyet Mahallesi,2+1,1,5,3. Kat,115,2,0,KombiDoğalgaz,469000
145,"K.OTOPARKLI, JENERATÖRLÜ, YENİ BİNADA, 2+1, 100 M2, FIIRSAT DAİRE", Bakırköy, Zuhuratbaba Mahallesi,2+1,4,5,Giriş,100,1,0,KombiDoğalgaz,1125000
146,ACİL  SATILIK!  Yeni Mahalle'de 95m² 2+1 Satılık Lüks Daire, Silivri, Yeni Mahallesi,2+1,5-10,5,5. Kat,105,1,0,KombiDoğalgaz,545000
147, Ispartakulede Lüks Sitede 2+1 Acil Satılık Daire, Avcılar, Tahtakale Mahallesi,2+1,5-10,12,1. Kat,110,1,0,Merkezi(PayÖlçer),830000
148,YALÇINTEPE RESİDENCE TEMİZ FERAH ÇİFT CEPHE SATILIK 1+1 DAİRE, Esenyurt, Koza Mahallesi,1+1,1,24,10-20,86,1,0,Merkezi(PayÖlçer),425000
149,"K.OTOPARKLI, JENERATÖRLÜ, YENİ BİNADA, 2+1, 100 M2, FIIRSAT DAİRE", Bakırköy, Zuhuratbaba Mahallesi,2+1,4,5,Giriş,100,1,0,KombiDoğalgaz,1125000
150,ACİL  SATILIK!  Yeni Mahalle'de 95m² 2+1 Satılık Lüks Daire, Silivri, Yeni Mahallesi,2+1,5-10,5,5. Kat,105,1,0,KombiDoğalgaz,545000
151,YALÇINTEPE RESİDENCE TEMİZ FERAH ÇİFT CEPHE SATILIK 1+1 DAİRE, Esenyurt, Koza Mahallesi,1+1,1,24,10-20,86,1,0,Merkezi(PayÖlçer),425000
152,BİGA DAN SANCAKTEPEDE SATILIK ÖN CEPHE 3+1 ARAKAT DAİRE, Sancaktepe, Fatih Mahallesi,3+1,3,3,1. Kat,140,1,0,KombiDoğalgaz,450000
153,E.N.F EMLAKTAN İÇERENKÖY MERKEZDE SATILIK DAİRE , Ataşehir, İçerenköy Mahallesi,3+1,20,7,6. Kat,135,1,0,KombiDoğalgaz,760000
154," Yeenibosna Fevziçaakmak mh 2+1 3,kat Geniş FUUL Daire", Bahçelievler, Yenibosna Merkez Mahallesi,2+1,20,4,3. Kat,95,1,0,KombiDoğalgaz,420000
155, Yenibosna Çobançeşme mh  Fatih cd Yakın Konumda , Bahçelievler, Yenibosna Merkez Mahallesi,2+1,5-10,4,4. Kat,80,1,0,KombiDoğalgaz,465000
156,Koç Emlak.tan Satılık daire, Kadıköy, Rasimpaşa Mahallesi,2+1,20,4,1. Kat,70,1,0,KombiDoğalgaz,545000
157, Ispartakulede Lüks Sitede 2+1 Acil Satılık Daire, Avcılar, Tahtakale Mahallesi,2+1,5-10,12,1. Kat,110,1,0,Merkezi(PayÖlçer),830000
158,Beylikdüzü beykentte satılık 1 + 1 daire, Beylikdüzü, Adnan Kahveci Mahallesi,1+1,5-10,7,Giriş,75,1,1,Merkezi(PayÖlçer),460000
159,Çengelköy'de Satılık 1.468m2 Boğaz Manzaralı Bahçeli Müstakil Ev, Üsküdar, Çengelköy Mahallesi,8+ Oda,20,3,Müstakil,1468,6,0,KombiDoğalgaz,120000000
160,BEYLİKDÜZÜ 'NDE MARİNAYA KOMŞU PROJEMİZDE ULTRA LÜKS DAİRELER, Beylikdüzü, Adnan Kahveci Mahallesi,3+1,0,5,3. Kat,155,2,0,KombiDoğalgaz,759000
161, REAL YAPI'DAN ŞIK TASARIMLI 3+1 FERAH DAİRE FIRSATI ! 136 M2 !, Beylikdüzü, Kavaklı Mahallesi,3+1,0,6,4. Kat,136,2,0,KombiDoğalgaz,429000
162,kadıköyün özel projesinde ayrıcalıklı bir yaşam sizi bekliyor, Kadıköy, Fikirtepe Mahallesi,2+1,3,20,10-20,135,2,0,Merkezi(PayÖlçer),1450000
163, TRUVA'DAN MALTEPDE ŞOK FİYAT ÇİFT BALKONLU 4.KAT ASANSRLÜ 2+1  , Maltepe, Fındıklı Mahallesi,2+1,5-10,5,4. Kat,90,1,0,KombiDoğalgaz,340000
164,BEYAZ YAPI İNŞAAT'DAN 7+1  240M2  GENİŞ TERASLI SIFIR DUBLEX, Çekmeköy, Aydınlar Mahallesi,7+1,0,5,5. Kat,255,2,0,KombiDoğalgaz,865000
165,Merter Mehmet Nesih Özmen Mahallesinde satılık 3+1 Daire, Güngören, Mehmet Nesih Özmen Mahallesi,3+1,20,5,3. Kat,120,1,0,KombiDoğalgaz,700000
166,avcılar denizkosklerde satilik giriskati, Avcılar, Denizköşkler Mahallesi,2+1,20,5,Giriş,110,1,0,KombiDoğalgaz,250000
167,"Next House'dan, Siyavuşpaşa'da, 4+2, 190M2, Dubleks, Fırsat.", Bahçelievler, Siyavuşpaşa Mahallesi,4+2,0,4,4. Kat,190,2,0,KombiDoğalgaz,1049000
168,Esenler Birlik Mahallesi 135 m2 3+1 Satılık Daire, Esenler, Birlik Mahallesi,3+1,20,5,4. Kat,135,1,0,KombiDoğalgaz,457000
169, Yenibosna  Zafer mh 2+1  Fuul+Fuul Lüx Daire, Bahçelievler, Yenibosna Merkez Mahallesi,2+1,20,4,1. Kat,100,1,0,KombiDoğalgaz,295000
170, Doğan Emlak 'tan Satılık Uygun ama Biraz Masraflı 2+1 Daireler, Sancaktepe, Fatih Mahallesi,2+1,5-10,4,1. Kat,80,1,0,KombiDoğalgaz,355000
171, SARAÇEMLAKTAN KREDİYE UYGUN SATILIK 2+1 MÜKKEMMEL DAİRE, Bahçelievler, Zafer Mahallesi,2+1,5-10,5,-3,110,1,0,KombiDoğalgaz,495000
172,NOFT YAPI'DAN SATILIK ÇİFT BALKONLU ASANSÖRLÜ LÜKS 3+1 DAİRE !, Beylikdüzü, Kavaklı Mahallesi,3+1,0,6,1. Kat,140,2,0,KombiDoğalgaz,729000
173, SARAÇ EMLAKTAN 1+1 MÜKKEMMEL KREDİLİ SATILIK YÜKSEK GR, Bahçelievler, Zafer Mahallesi,1+1,5-10,5,Giriş,75,1,0,KombiDoğalgaz,239000
174,İstanbul Pendik Kurnaköy Satılık 1475 m² Arazi Müstakil Ev İşyeri, Pendik, Kurna Mahallesi,5+2,4,1,Müstakil,1475,2,0,Sobalı,2900000
175, ZAFER MAH 3'YILLIK KAT MÜLKİYETLİ DAİRE, Bahçelievler, Zafer Mahallesi,2+1,3,4,2. Kat,90,1,0,KombiDoğalgaz,455000
176,Etiler Sarı Konaklar'da Satılık 320 m2 Çatı Dubleksi 3+1, Beşiktaş, Etiler Mahallesi,3+1,11-20,5,4. Kat,320,3,0,Merkezi(PayÖlçer),21000000
177, SAHİBİNDEN AYDINLI MERKEZDE PROJEDEN SATILIK YATIRIMLIK DAİRELER, Tuzla, Aydınlı Mahallesi,2+1,0,11,6. Kat,100,2,0,Merkezi(PayÖlçer),550000
178,Sultangazi Cebeci 2+1 Satılık Daire, Sultangazi, Malkoçoğlu Mahallesi,2+1,5-10,5,Bahçe Katı,85,1,0,KombiDoğalgaz,220000
179,Etiler Sarı Konaklar'da Satılık 320 m2 Çatı Dubleksi 3+1, Beşiktaş, Etiler Mahallesi,3+1,11-20,5,4. Kat,320,3,0,Merkezi(PayÖlçer),21000000
180,Sultangazi Cebeci 2+1 Satılık Daire, Sultangazi, Malkoçoğlu Mahallesi,2+1,5-10,5,Bahçe Katı,85,1,0,KombiDoğalgaz,220000
181, SAHİBİNDEN AYDINLI MERKEZDE PROJEDEN SATILIK YATIRIMLIK DAİRELER, Tuzla, Aydınlı Mahallesi,2+1,0,11,6. Kat,100,2,0,Merkezi(PayÖlçer),550000
182,Maçka Armani Residence Satılık Boğaz Manzaralı 232m2 Lüks 2+1, Beşiktaş, Vişnezade Mahallesi,2+1,4,16,3. Kat,232,3,0,Merkezi(PayÖlçer),15500000
183,BEYLİKDÜZÜ KAVAKLI'DA VİLLA TADIN'DA 365 GÜN TATİL KEYFİ, Beylikdüzü, Kavaklı Mahallesi,2+1,0,4,1. Kat,185,2,0,KombiDoğalgaz,1250000
184, Doğan Emlak 'tan Ortadağda Satılık İskanlı ve Ön 3+1 Ters Dublex, Sancaktepe, Fatih Mahallesi,3+1,3,4,Giriş,120,1,0,KombiDoğalgaz,260000
185,ŞİRİNEVLER HURİYET MAH 5 YILLIK BİNA DUBLEKS DAİRE, Bahçelievler, Hürriyet Mahallesi,3+1,5-10,6,5. Kat,150,2,0,KombiDoğalgaz,950000
186,Durakcan Yapı'dan Metrobüse Yürüme Mesafesinde 1+1 Ara Kat, Esenyurt, Talatpaşa Mahallesi,1+1,5-10,6,2. Kat,90,1,0,KombiDoğalgaz,260000
187,BLUE LAKE 4+1 A BLOK 11. KAT FULL GÖL MANZARALI KONUM! MEGA, Küçükçekmece, Fatih Mahallesi,4+1,2,15,10-20,230,2,0,Merkezi(PayÖlçer),4000000
188,CİEL ALEMDAĞ evlerinde satılık 3+1 geniş daire, Çekmeköy, Alemdağ Mahallesi,3+1,0,6,1. Kat,139,2,0,KombiDoğalgaz,1050000
189,Catalmeşe merkezde Satılık arakat 3+1 daire, Çekmeköy, Çatalmeşe Mahallesi,3+1,4,5,4. Kat,119,2,0,KombiDoğalgaz,820000
190,Aktel Residence'de 300m² Satılık 3+1 Bahçe Katı Dubleks, Beylikdüzü, Adnan Kahveci Mahallesi,3+1,5-10,12,Bahçe Dublex,300,3,1,Merkezi(PayÖlçer),2000000
191,****ÇEKMEKÖY'DE TEK DAİRE FİYATINA 6+2 ÇİFT DAİRE FIRSATI****, Çekmeköy, Aydınlar Mahallesi,6+2,0,5,1. Kat,230,3,0,KombiDoğalgaz,755000
192,Fırsat Fiyat Düştü YT Üniversiteye Yakın Kredili Ultra Lüx Daire, Esenler, Davutpaşa Mahallesi,2+1,20,5,5. Kat,125,1,0,KombiDoğalgaz,498000
193, Atakent 1.Etap Tadilatlı 71m2 Kutlutaş'da 2+1 Satılık Daire, Küçükçekmece, Atakent Mahallesi,2+1,20,13,4. Kat,90,1,1,Merkezi(PayÖlçer),600000
194, EMLAK WORKS'DEN İST MARİNADA 1+1 SATILIK DENİZ MANZARALI DAİRE, Kartal, Kordonboyu Mahallesi,1+1,4,30,4. Kat,80,1,1,Merkezi(PayÖlçer),1700000
195,RE/MAX FLY'DAN SULTANGAZİDE MERKEZE YAKIN KELEPİR SATILIK DAİRE, Sultangazi, 75. Yıl Mahallesi,2+1,20,4,1. Kat,105,2,0,KombiDoğalgaz,250000
196,RE/MAX FLY'DAN ÜMRANİYE YUKARI DUDULLU 3+1 TEMİZ SATILIK DAİRE, Ümraniye, Altınşehir Mahallesi,3+1,11-20,4,1. Kat,180,2,0,KombiDoğalgaz,420000
197,Sultangazi Cebeci 95 m2 2+1 Satılık Daire, Sultangazi, Malkoçoğlu Mahallesi,2+1,5-10,5,1. Kat,95,1,0,KombiDoğalgaz,525000
198,SATILIK DAIRE YUZYILDA, Bağcılar, 100. Yıl Mahallesi,2+1,20,4,2. Kat,125,1,0,DoğalgazSobalı,325000
199,EMLAK WORKS'DEN KARTAL AKDAMAR SKY SUİTE'DE SATILIK 2+1, Kartal, Gümüşpınar Mahallesi,2+1,0,18,10-20,110,1,0,Merkezi(PayÖlçer),1250000
200,BEYLİKDÜZÜ MERKEZİ KONUMDA SİTE İÇİ 3+1 SATILIK DAİRE FIRSATI, Beylikdüzü, Adnan Kahveci Mahallesi,3+1,0,4,1. Kat,140,2,0,KombiDoğalgaz,1275000
201,Sultangazi Cebeci 110 m2 2+1 Sıfır Ara Kat Satılık Daire, Sultangazi, Malkoçoğlu Mahallesi,2+1,0,5,2. Kat,110,1,0,KombiDoğalgaz,560000
202,Sultangazi Cebeci Tramvay Yolu Cadde Üzeri 1+1 Satılık Daire, Sultangazi, Malkoçoğlu Mahallesi,1+1,0,5,4. Kat,90,0,0,KombiDoğalgaz,380000
203,Sultangazi Cebeci 4+2 200 m2 Dubleks Satılık Daire, Sultangazi, Malkoçoğlu Mahallesi,4+2,0,5,Çatı Dubleks,215,2,0,KombiDoğalgaz,830000
204, Bahçeşehir Nissa O2 Residance 2+1 Satılık Daire, Avcılar, Tahtakale Mahallesi,2+1,5-10,31,30-40,180,1,1,YerdenIsıtma,920000
205, soyak park aparts 2.etapta havuz cepheli çift balkonlu 56 m2 1+1, Küçükçekmece, Atakent Mahallesi,1+1,5-10,5,3. Kat,56,1,1,Merkezi(PayÖlçer),555000
206,Atakent Mah.3.Etap 57 m2 Full tadilatlı 1+1, Küçükçekmece, Atakent Mahallesi,1+1,11-20,9,5. Kat,64,1,1,MerkeziDoğalgaz,520000
207, ACIBADEM İKBALİYEDE 2+1 KOMBİLİ SATILIK DAİRE, Kadıköy, Acıbadem Mahallesi,2+1,20,4,3. Kat,85,1,0,KombiDoğalgaz,615000
208, Bahçeşehir Nissa O2 Residance 2+1 Satılık Daire, Avcılar, Tahtakale Mahallesi,2+1,5-10,29,21-29,220,2,1,YerdenIsıtma,1440000
209,AYDINLAR MAHALLESİNDE İKİ BLOKLU BUTİK SİTE İÇİNDE 2+1 DAİRE, Çekmeköy, Aydınlar Mahallesi,2+1,4,6,1. Kat,80,1,0,KombiDoğalgaz,303000
210,TURKUAZ'DAN LANSMAN ÖNCESİ FIRSATLAR %40 PEŞİNAT İLE 15 AY VADE, Beylikdüzü, Kavaklı Mahallesi,3+1,0,4,2. Kat,185,3,0,KombiDoğalgaz,1750000
211,"Next House'dan Merkez'de,E.Banyolu,3+1,160M2,Ultra,Lüx", Bahçelievler, Bahçelievler Mahallesi,3+1,0,4,3. Kat,160,2,0,KombiDoğalgaz,2119000
212,ATAPOL SİTESİNDE ÖZEL TASARIM 3+1 BALKONLU SATILIK DAİRE, Ataşehir, Yenişehir Mahallesi,3+1,11-20,9,2. Kat,120,1,0,KombiDoğalgaz,1285000
213,smart home system 2+1 with pool view, Çekmeköy, Aydınlar Mahallesi,2+1,0,7,5. Kat,95,1,0,KombiDoğalgaz,429000
214," İÇERENKÖY MERKEZDE GENÇ BİNADA 140M2 3+1 KOMBİLİ,TERS DUBLEKS", Ataşehir, İçerenköy Mahallesi,3+1,11-20,3,Giriş,140,2,0,KombiDoğalgaz,665000
215,BİGA DAN SATILIK 4+1 ÖN CEPHE SIFIR ÜST DUBLEKS , Sancaktepe, Fatih Mahallesi,4+1,0,3,Çatı Dubleks,150,2,0,KombiDoğalgaz,560000
216, FEVZİ ÇAKMAK MAH 2+1 KREDİYE UYGUN 3.KAT MERKEZİ KONUMDA, Bahçelievler, Fevzi Çakmak Mahallesi,2+1,20,3,3. Kat,90,1,0,KombiDoğalgaz,345000
217,"Lüks,Yeni,Metro,Çarşı,kullanışlı HEPSİ BİR ARADA 3+2 Dubleks", Ümraniye, Namık Kemal Mahallesi,3+2,4,4,4. Kat,165,3,0,KombiDoğalgaz,1490000
218,"REM TÜRKİYE, TERAS ÇEKMEKÖY UZMANINDAN MÜTHİŞ 3+1 DAİRE", Çekmeköy, Cumhuriyet Mahallesi,3+1,5-10,9,3. Kat,166,2,0,KombiDoğalgaz,740000
219,BEYLİKDÜZÜ komşu 1+1 balkonlu site içi ferrah SATILIK DAİRE, Esenyurt, Piri Reis Mahallesi,1+1,0,9,6. Kat,80,1,0,MerkeziDoğalgaz,450000
220, MİMAR EMLAK'TAN MEHMET AKİFTE TEK DAİRE ÜZERİ 3+1 5.KAT, Küçükçekmece, Mehmet Akif Mahallesi,3+1,11-20,7,5. Kat,140,1,0,KombiDoğalgaz,290000
221,Ulus Zorlu Center Civarı İçi Komple Dekorlu Satılık Daire, Beşiktaş, Levazım Mahallesi,3+1,11-20,7,5. Kat,165,2,0,KombiDoğalgaz,4500000
222,Bağcılarda yeni sıfır 2 artı 1 arakat satılık daire, Bağcılar, Kirazlı Mahallesi,2+1,0,4,3. Kat,110,1,0,KombiDoğalgaz,600000
223, SARAÇ EMLAK TAN 2+1 BAHÇE KATI KREDİYE UYGUN DEĞİL , Bahçelievler, Zafer Mahallesi,2+1,20,5,Bahçe Katı,85,1,0,KombiDoğalgaz,155000
224, SARAÇ EMLAK TAN 2 KAT 2+1 MASRAFSIZ DAİRE GÜNEY CEPE , Bahçelievler, Zafer Mahallesi,2+1,20,5,2. Kat,90,1,0,KombiDoğalgaz,290000
225, EYÜP ÇARŞIDA 4+1 160M2 1.KAT KREDİYE UYGUN LÜKS DAİRE, Eyüpsultan, Düğmeciler Mahallesi,4+1,20,3,1. Kat,180,1,0,KombiDoğalgaz,1050000
226, BEYLİKDÜZÜ'NDE FULL DONANIMA SAHİP ŞIK TASARIMLI ULTRA LÜKS 3+1, Beylikdüzü, Cumhuriyet Mahallesi,3+1,0,15,8. Kat,130,1,0,KombiDoğalgaz,275000
227, BEYLİKDÜZÜ 'NDE METROBÜSE YÜRÜME MESAFESİNDE LÜKS 3+1 DAİRE !, Beylikdüzü, Yakuplu Mahallesi,3+1,0,4,2. Kat,142,1,0,KombiDoğalgaz,689000
228," ELZEM YAPI'DAN İSKANLI, ASANSÖRLÜ 2+1 ARAKAT", Sancaktepe, Mevlana Mahallesi,2+1,4,4,2. Kat,95,1,0,KombiDoğalgaz,355000
229, Avrupa Konutları Atakent 1'de 110m2 Panjurlu 2+1 Satılık Daire, Küçükçekmece, Atakent Mahallesi,2+1,11-20,14,10-20,110,2,0,KombiDoğalgaz,1560000
230, ÇEVİK'TEN BOSTANCI PARAGON'DA DENİZ MANZARALI 4+1, Kadıköy, Bostancı Mahallesi,4+1,5-10,18,9. Kat,220,2,0,Merkezi(PayÖlçer),5000000
231,Kayaşehir 12 bölgede satılık tapulu fırsat 2+1 daire, Başakşehir, Kayabaşı Mahallesi,2+1,5-10,13,-1,85,1,0,Merkezi(PayÖlçer),529900
232,E5  METRO Yakını Fatih cd Yakın Konumda Daire, Bahçelievler, Çobançeşme Mahallesi,2+1,4,4,3. Kat,80,1,0,KombiDoğalgaz,520000
233,KAĞITHANE MERKEZE YÜRÜME MESAFESİNDE 4+2 SÜPER DUBLEKS DAİRE, Kağıthane, Merkez Mahallesi,4+2,5-10,7,7. Kat,185,2,0,KombiDoğalgaz,900000
234,ŞAŞKINBAKKALDA BAĞDATA 2.BİNA DENİZ MANZARALI YÜZME HAVUZLU 3+1, Kadıköy, Suadiye Mahallesi,3+1,5-10,17,10-20,135,1,0,Merkezi(PayÖlçer),3800000
235,BULGURLU'DA 2+1 UYGUN ARA KAT BALKONLU DAİRE, Üsküdar, Cumhuriyet Mahallesi,2+1,20,4,2. Kat,80,1,0,KombiDoğalgaz,579000
236,Yiğit Emlak Regnum towers 1+1 59 m2 Eşyalı Satılık Daire, Esenyurt, Akevler Mahallesi,1+1,11-20,30,10-20,59,1,0,Merkezi(PayÖlçer),370000
237,Gaziosmanpaşa Şemsipaşa Mahallesinde Satılık Daireler, Gaziosmanpaşa, Şemsipaşa Mahallesi,1+1,0,5,Bodrum,70,1,0,KombiDoğalgaz,250000
238, Atakent Mahallesi 2 Etap 50 m2 Kullanımlı 1+1 Satılık, Küçükçekmece, Atakent Mahallesi,1+1,11-20,17,10-20,60,1,1,MerkeziDoğalgaz,530000
239,BULGURLU'DA 2+1 UYGUN ARA KAT BALKONLU DAİRE, Üsküdar, Cumhuriyet Mahallesi,2+1,20,4,2. Kat,80,1,0,KombiDoğalgaz,579000
240,Yiğit Emlak Regnum towers 1+1 59 m2 Eşyalı Satılık Daire, Esenyurt, Akevler Mahallesi,1+1,11-20,30,10-20,59,1,0,Merkezi(PayÖlçer),370000
241,Gaziosmanpaşa Şemsipaşa Mahallesinde Satılık Daireler, Gaziosmanpaşa, Şemsipaşa Mahallesi,1+1,0,5,Bodrum,70,1,0,KombiDoğalgaz,250000
242, Atakent Mahallesi 2 Etap 50 m2 Kullanımlı 1+1 Satılık, Küçükçekmece, Atakent Mahallesi,1+1,11-20,17,10-20,60,1,1,MerkeziDoğalgaz,530000
243,ŞEREF EMLAK KARLITEPE MAHAL. GİRİŞ KAT SATILIK DAİRE 270.000 TL, Gaziosmanpaşa, Karlıtepe Mahallesi,2+1,5-10,5,Giriş,80,1,0,KombiDoğalgaz,270000
244, BAHÇELİEVLER ÇALIŞLAR ÖMÜR ARKASI YATIRIMLIK DAİRE, Bahçelievler, Bahçelievler Mahallesi,3+1,20,4,1. Kat,110,1,0,MerkeziDoğalgaz,950000
245,Tuzla Park 1 Sitesinde Satılık Yüksek Giriş 3+1 Daire, Tuzla, İstasyon Mahallesi,3+1,5-10,5,Giriş,105,1,0,KombiDoğalgaz,685000
246,"Next House'dan Beyaz Konaklar'da 2+1 120 M2,Lüx,Fırsat,Daire", Bahçelievler, Siyavuşpaşa Mahallesi,2+1,5-10,5,Giriş,120,1,0,KombiDoğalgaz,829000
247,DEVLET HASTANESİNE YÜRÜME MESAFESİNDE 2+1 100M2 3.KAT DAİRE, Esenyurt, Bağlarçeşme Mahallesi,2+1,0,5,3. Kat,110,1,0,KombiDoğalgaz,257000
248, MİMAR EMLAK'TAN MEHMET AKİF'TE GÜNEY CEPHE 2+1 5.KAT, Küçükçekmece, Mehmet Akif Mahallesi,2+1,11-20,7,5. Kat,85,1,0,KombiDoğalgaz,195000
249,EYÜP ÇIRÇIR ULUDAĞ CADDE 6. KAT 2+1 MANZARALI SATILIK DAİRE, Eyüpsultan, Çırçır Mahallesi,2+1,4,9,7. Kat,110,1,0,KombiDoğalgaz,770000
250, ÇEVİKTEN ZİVERBEYDE MİNİBÜS CD NE ÇOK YAKIN 1 YAŞINDA 3+1, Kadıköy, Eğitim Mahallesi,3+1,1,12,6. Kat,115,2,0,Merkezi(PayÖlçer),1600000
251, KÜÇÜKYALI'DA ÇEVİK'TEN BAHÇE KULLANIMLI YENİ BİNADA DUBLEKS, Maltepe, Altıntepe Mahallesi,2+1,5-10,5,Bahçe Katı,90,1,0,Merkezi(PayÖlçer),900000
252, Atakent 2.Etap'da 95m2 Arenapark'a Yakın 3+1 Satılık Daire, Küçükçekmece, Atakent Mahallesi,3+1,20,17,10-20,120,1,1,Merkezi(PayÖlçer),810000
253,Çevik Emlak'tan Erenköy'de 2022 Ocak teslim sıfır 2+1, Kadıköy, Erenköy Mahallesi,2+1,0,10,7. Kat,90,1,0,Merkezi(PayÖlçer),1620000
254,DOĞA PARKINA YÜRÜME MESAFESİNDE SATILIK 2+1 DAİRE, Çekmeköy, Mimar Sinan Mahallesi,2+1,5-10,4,Giriş,80,1,0,KombiDoğalgaz,425000
255, AVCILAR MERKEZ MH. 2+1 SATILIK  DAİRE, Avcılar, Merkez Mahallesi,2+1,20,4,Giriş,90,1,0,KombiDoğalgaz,350000
256, AVCILAR CİHANGİR MAHALLESİ SATILIK DAİRE 650 000 TL, Avcılar, Cihangir Mahallesi,2+1,0,4,1. Kat,105,1,0,KombiDoğalgaz,650000
257,DEPAR'DAN KALAMIŞTA SIFIR İSKANLI FUL DENİZ MANZARALI 5+2 DUBLEX, Kadıköy, Fenerbahçe Mahallesi,5+2,0,10,10-20,350,3,0,KombiDoğalgaz,7800000
258, AVCILAR CİHANGİRDE 2+1 SATILIK DAİRE , Avcılar, Cihangir Mahallesi,2+1,20,3,3. Kat,90,1,0,KombiDoğalgaz,275000
