,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
1125," Bahçelievler Yayla Merkez'de, Özel Tasarım Ters Dubleks",Bahçelievler, Siyavuşpaşa Mahallesi,Konut,2+1,20,5,Bahçe Dublex,125,1,2,0,KombiDoğalgaz,410000
1126,--ACİLL KAÇMAZ FİYATA METROBÜSE YAKIN YENİ BİNADA 2+1 DAİRELER--,Esenyurt, Saadetdere Mahallesi,Konut,2+1,2,5,3. Kat,90,1,1,0,KombiDoğalgaz,357500
1127,SULTANMURAT MH. SATILIK SIFIR 110 M2 2+1 NORMAL KAT LÜKS DAİRE,Küçükçekmece, Sultan Murat Mahallesi,Konut,2+1,0,3,1. Kat,110,2,1,0,KombiDoğalgaz,700000
1128,Maltepe Altayçeşme E-5'e Yakın 3+2 Satılık Dublex Daire,Maltepe, Altayçeşme Mahallesi,Konut,4+1,11-20,4,4. Kat,160,2,1,0,KombiDoğalgaz,1000000
1129,Kağıthane Gürsel metrobüse yakın 3+1 Satılık Dublex Daire,Kağıthane, Gürsel Mahallesi,Konut,3+1,5-10,4,3. Kat,180,2,1,0,KombiDoğalgaz,1100000
1130,!FIRSAT! ÇENGELKÖY ATA2 DE ÇIKIŞA 100 MT İÇİ YAPILI 125 M2 DAİRE,Üsküdar, Bahçelievler Mahallesi,Konut,3+1,11-20,4,2. Kat,125,1,1,0,MerkeziDoğalgaz,885000
1131,KALAMIŞ SAHİL DENİZE 3. BİNA 36 M2 SALON BALKONLU YENİ GENİŞ 3+1,Kadıköy, Fenerbahçe Mahallesi,Konut,3+1,2,11,3. Kat,158,2,1,0,KombiDoğalgaz,3900000
1132,GARANTİDEN KÜÇÜKYALIDA 3 YILLIK BİNADA İSKANLI AYRI MUTFAKLI 2+1,Maltepe, Çınar Mahallesi,Konut,2+1,3,5,3. Kat,90,1,1,0,KombiDoğalgaz,915000
1133,AY YILDIZ EMLAKTAN GÜNGÖREN CAMLI KAHVEDE LÜKS 3+1 SATILIK DAİRE,Güngören, Mareşal Çakmak Mahallesi,Konut,3+1,20,5,2. Kat,110,1,1,0,KombiDoğalgaz,600000
1134,SİTE İÇİ 1+1 %60 NAKİT GERİSİ ELDEN SENET!! SENDE YUVANI AL!!,Esenyurt, Cumhuriyet Mahallesi,Konut,1+1,0,11,5. Kat,85,1,1,0,KombiDoğalgaz,250000
1135,ŞİŞLİ FULYADA SATILIK GENİŞ 2+1 BAHÇE KATI DAİRE,Şişli, Fulya Mahallesi,Konut,2+1,20,5,Bahçe Katı,75,1,1,0,KombiDoğalgaz,580000
1136,PRESTİJ PARK C TİPİ FULL BEYAZ EŞYALI ARA KAT 3+1 DAİRE,Esenyurt, Zafer Mahallesi,Konut,3+1,3,17,9. Kat,171,2,1,0,Merkezi(PayÖlçer),1080000
1137,"PRESTİJ PARK SİTESİ HAVUZ CEPHE, BOŞ FULL BEYAZ EŞYALI 2+1",Esenyurt, Zafer Mahallesi,Konut,2+1,5-10,16,11. Kat,101,1,1,0,Merkezi(PayÖlçer),700000
1138,PRESTIJ PARK 2+1 SATILIK DAİREفارغة وعلى النافورة للبيع المستعجل,Esenyurt, Zafer Mahallesi,Konut,2+1,4,16,12. Kat,101,1,1,0,MerkeziDoğalgaz,710000
1139,█ G.O.P MEYDANA YAKIN | FIRSAT | 110 m² 3+1 █,Gaziosmanpaşa, Sarıgöl Mahallesi,Konut,3+1,20,5,2. Kat,120,1,1,0,KombiDoğalgaz,435000
1140,MODERN 34'den Bağlarbaşı'nda Katta Tek Geniş Satılık 3+1 Daire,Maltepe, Bağlarbaşı Mahallesi,Konut,3+1,5-10,5,4. Kat,120,2,1,0,KombiDoğalgaz,910000
1141,"Beka Gm Atatürk Mah.de 95m2 Satılık Daire 415,000 TL",Ümraniye, Atatürk Mahallesi,Konut,2+1,20,4,4. Kat,95,1,1,0,KombiDoğalgaz,415000
1142,ETİLER SATILIK BADUR SİTESİNDE İYİ KONUMDA ÇATI DUBLEX,Beşiktaş, Etiler Mahallesi,Konut,5+1,11-20,5,4. Kat,284,3,1,0,MerkeziDoğalgaz,9350000
1143, YAKUPLU MAHALLESINDE 1+1 LUX DAIRE FIRSATI RUZGAR YAPI'DAN !!!,Beylikdüzü, Yakuplu Mahallesi,Konut,1+1,2,5,4. Kat,85,1,1,0,KombiDoğalgaz,146000
1144, Mertcan dan Gümüşpınar Mah 2+1 Ara Katta Fırsat Satılık Daire,Kartal, Uğur Mumcu Mahallesi,Konut,2+1,20,4,1. Kat,90,1,2,0,KombiDoğalgaz,234000
1145, AVCILAR CİHANGİR BU AYIN KELEPİR 2+1 SIFIR DAİRESİ RÜZGAR YAPIDA,Avcılar, Cihangir Mahallesi,Konut,2+1,1,5,1. Kat,110,1,1,0,KombiDoğalgaz,175000
1146, Yeni Binada Satılık 3+1 120 m2 Masrafsız Şık Daire,Bahçelievler, Siyavuşpaşa Mahallesi,Konut,3+1,3,5,1. Kat,120,2,2,0,KombiDoğalgaz,895000
1147,!شقة للبيع في اسطنبول3 ريزدنس 1+1 مع تراس كبير اطلالة رائعة فرصة,Başakşehir, Başakşehir Mahallesi,Konut,1+1,0,13,13. Kat,77,1,1,0,Merkezi(PayÖlçer),1000000
1148, BEYLİKDÜZÜNDE DENİZ MANZARALI BUTİK SİTE İÇİNDE 3+1 DAİRE,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,3+1,5-10,5,2. Kat,185,1,1,0,KombiDoğalgaz,849000
1149, DÖNÜŞÜM'DEN KAÇMAZ FIRSAT!GENİŞ 160 M2 2+2 SATILIK MÜSTAKİL BİNA,Pendik, Sülüntepe Mahallesi,Konut,2+2,5-10,2,Müstakil,160,2,1,0,KombiDoğalgaz,655000
1150, ESENYURT DOĞAN ARASLI BULVARINDA SATLIK 1+1 DAİRE,Esenyurt, Üçevler Mahallesi,Konut,1 Oda,4,6,3. Kat,75,1,1,0,KombiDoğalgaz,135000
1151,MALTEPE'DE SIFIR LÜX BAHÇE KATI 100M2 BU FIRSAT KAÇMAZ 3+1 ACİLL,Maltepe, Fındıklı Mahallesi,Konut,3+1,4,4,Bahçe Katı,100,1,1,0,KombiDoğalgaz,350000
1152," BAHÇELİEVLER Yayla'da, 2+1, 90m2, arakat Daire.",Bahçelievler, Siyavuşpaşa Mahallesi,Konut,2+1,20,5,3. Kat,90,1,1,0,KombiDoğalgaz,440000
1153,Esenyurt Merkezi Konum Ayrı Mutfaklı Bahçe Kat 1+1 Satılık Daire,Esenyurt, Mehmet Akif Ersoy Mahallesi,Konut,1+1,5-10,5,Bahçe Katı,70,1,1,0,KombiDoğalgaz,210000
1154,AVCILAR RÜZGAR YAPI'DAN METROBÜSÜN DİBİNDE 3+1 LUX DAİRELER!,Avcılar, Mustafa Kemal Paşa Mahallesi,Konut,3+1,1,5,4. Kat,130,2,2,0,KombiDoğalgaz,287000
1155,DAP Teras Kule'de Lebiderya Deniz Manzaralı Teraslı 2+1 Daire,Kartal, Topselvi Mahallesi,Konut,2+1,2,30,19. Kat,195,2,1,0,Merkezi(PayÖlçer),2750000
1156,ARNAVUTKÖY ANADOLU MAH SATILIK 97 M2 2 +1 DAİRE,Arnavutköy, Anadolu Mahallesi,Konut,2+1,0,5,3. Kat,97,1,1,0,KombiDoğalgaz,440000
1157,GG Murat'tan Levent'te Yeni Projede Fırsat Satılık Daire,Beşiktaş, Nisbetiye Mahallesi,Konut,3+1,0,5,5. Kat,180,2,1,0,KombiDoğalgaz,4900000
1158,"ADNAN KAHVECİ BULVARI ÜSTÜ, 3+1, ARAKAT, FIRSAT DAİRE ...",Bahçelievler, Bahçelievler Mahallesi,Konut,3+1,20,3,2. Kat,100,1,1,0,KombiDoğalgaz,795000
1159,ŞEREF EMLAK KARLITEPE CUMA PAZARINDA SATILIK BAHÇE KATI DAİRE,Gaziosmanpaşa, Yıldıztabya Mahallesi,Konut,2+1,20,4,Bahçe Katı,90,1,1,0,KombiDoğalgaz,330000
1160, ÜLKEM'DEN CENNET MAH 2+1 90 M2 SIFIR BAHÇEKATI DAİRE,Küçükçekmece, Cennet Mahallesi,Konut,2+1,0,3,Bahçe Katı,90,1,1,0,KombiDoğalgaz,390000
1161, KAĞITHANE İSTOVA PROJESİNDE  PENTHOUSE 1+1 SATILIK DAİRE,Kağıthane, Hamidiye Mahallesi,Konut,1+1,0,14,12. Kat,73,1,1,1,Merkezi(PayÖlçer),960000
1162, KAĞITHANE İSTOVA PROJESİNDE  PENTHOUSE 1+1 SATILIK DAİRE,Kağıthane, Hamidiye Mahallesi,Konut,1+1,0,14,14. Kat,75,1,1,0,Merkezi(PayÖlçer),950000
1163,2+1 Fırsat site içi Osmangazi mah.,Sancaktepe, Osmangazi Mahallesi,Konut,2+1,0,10,6. Kat,102,1,1,0,KombiDoğalgaz,545000
1164,2+1 SATILIK MERDIVENKOY/APARTMENT FOR SALE,Kadıköy, Merdivenköy Mahallesi,Konut,2+1,20,8,5. Kat,85,1,1,0,MerkeziDoğalgaz,650000
1165, ESENYURT İNNOVİA 3 1+1 EŞYALI SATILIK SİTE İÇİNDE DAİRE,Esenyurt, Yeşilkent Mahallesi,Konut,1+1,5-10,27,16. Kat,65,1,1,1,Merkezi(PayÖlçer),350000
1166,BAŞAKŞEHİR EVLERİNDE 3+1 SATILIK DAİRE اطلالة رائعة شقة فارغة,Başakşehir, Kayabaşı Mahallesi,Konut,3+1,4,29,8. Kat,140,2,1,0,Merkezi(PayÖlçer),1350000
1167,Maltepe Cevizlide Telatpaşa Da 5+1 Dublex,Maltepe, Cevizli Mahallesi,Konut,5+1,5-10,6,6. Kat,155,2,1,0,KombiDoğalgaz,1270000
1168, AKBAYIRLAR'DAN YAKACIK YENİ'DE MERKEZİ KONUM 2+1 GENİŞ DAİRE,Kartal, Yakacık Yeni Mahallesi,Konut,2+1,0,5,2. Kat,90,1,1,0,KombiDoğalgaz,550000
1169,KÜBRA KESKİNERDEN SINPAŞ LIVA DA SATILIK 3+1,Sultanbeyli, Adil Mahallesi,Konut,3+1,5-10,11,5. Kat,130,2,1,0,Merkezi(PayÖlçer),1100000
1170,FATİH MAHALLESİNDE 3+1 DAİRE,Büyükçekmece, Fatih Mahallesi,Konut,3+1,20,4,Düz Giriş,94,1,1,0,KombiDoğalgaz,310000
1171, KAYA İNŞAAT FARKI İLE EN TEMİZ DAİRELERE SAHİP OLUN,Esenyurt, İnönü Mahallesi,Konut,2+1,3,5,3. Kat,85,1,0,0,KombiDoğalgaz,330000
1172,SAMANDIRA OSMANGAZİ DE BAKKAL DURAĞINDA KELEPİR ACİL SATILIK ,Sancaktepe, Osmangazi Mahallesi,Konut,3+1,2,4,Yüksek Giriş,140,2,1,0,KombiDoğalgaz,257000
1173,EYÜP ALİBEYKÖYDE ANA CADDE ÜSTÜ MUHTEŞEM BAHÇELİ TERS DUBLEKS ,Eyüpsultan, Esentepe Mahallesi,Konut,2+1,4,4,Bahçe Dublex,150,2,1,0,KombiDoğalgaz,415000
1174, Büyükçekmece Turgut Özal da 4+1 Dubleks Daire Satılık,Büyükçekmece, Cumhuriyet Mahallesi,Konut,4+1,20,3,Çatı Dubleks,165,2,1,0,KombiDoğalgaz,770000
1175,Beylikdüzü Deniz İstanbul Mercan Konakları 2+1 Daire,Beylikdüzü, Marmara Mahallesi,Konut,2+1,0,6,Yüksek Giriş,106,2,1,0,KombiDoğalgaz,1700000
1176,YILDIRIM MALLESİNE DEVAM 2+1 100 METRE KARE EKİM SONU TESLİM,Bayrampaşa, Yıldırım Mahallesi,Konut,2+1,0,3,2. Kat,100,2,1,0,KombiDoğalgaz,850000
1177, SOĞANLIK GÜMÜŞPINAR MAHALLESİNDE YATIRIMLIK  2+1 SATILIK DAİRE,Kartal, Gümüşpınar Mahallesi,Konut,2+1,20,4,3. Kat,110,1,1,0,KombiDoğalgaz,230000
1178, Küçükçekmece Atakent Avrupa 3 de 1+1 84m2  Arakat Satılık Daire,Küçükçekmece, Atakent Mahallesi,Konut,1+1,5-10,19,12. Kat,84,1,1,0,Merkezi(PayÖlçer),1150000
1179, Küçükçekmece Atakent Şua Elit Ciyt de 1+1 Arakat Eşyalı Satılık ,Küçükçekmece, Atakent Mahallesi,Konut,1+1,5-10,29,20. Kat,67,1,1,0,MerkeziDoğalgaz,760000
1180, EYÜP NİŞANCA MAH.2+1 ARA KAT AÇIK MUTFAKLI KREDİYE UYGUN DAİRE,Eyüpsultan, Nişancı Mahallesi,Konut,2+1,4,3,2. Kat,80,1,1,0,KombiDoğalgaz,475000
1181, EYÜP NİŞANCA MAH.6+1 ÇOK GENİŞ EMSALSİZ DUBLEX DAİRE,Eyüpsultan, Nişancı Mahallesi,Konut,6+1,11-20,4,Çatı Dubleks,300,4,4,0,KombiDoğalgaz,1300000
1182,GÜNGÖREN DE 11 YILLIK BİNA DA  90M2 2+1 SATILIK BAHÇE KATI,Güngören, Akıncılar Mahallesi,Konut,2+1,11-20,4,Bahçe Katı,90,1,2,0,KombiDoğalgaz,460000
1183,SARIGAZİ ATATÜRK MAH.3+1 ARAKAT 120M2 NET 2 BALKONLU ARAKAT,Sancaktepe, Atatürk Mahallesi,Konut,3+1,5-10,4,3. Kat,140,2,1,0,KombiDoğalgaz,515000
1184,REMAX PUSULA'DAN ALTERNATİFSİZ ÖZEL DEKORLU LÜKS DAİRE,Kartal, Kordonboyu Mahallesi,Konut,3+1,20,7,3. Kat,180,1,1,0,KombiDoğalgaz,1200000
1185,SATILIK 2+1 TOPRAK TAPULU TEMİZ MASRAFSIZ DAİRE,Kağıthane, Sultan Selim Mahallesi,Konut,2+1,20,6,6. Kat,78,1,1,0,KombiDoğalgaz,350000
1186,GARANTİDEN KÜÇÜKYALI ÇAMLIK SAHİLDE ÖN CEPHE ASANSÖRLÜ 3+1,Maltepe, Küçükyalı Mahallesi,Konut,3+1,20,4,4. Kat,140,1,1,0,KombiDoğalgaz,890000
1187,Başakşehir Onurkent'te Metro Durağı'nın hemen yanında 3+1 Daire,Başakşehir, Başakşehir Mahallesi,Konut,3+1,11-20,6,6. Kat,140,1,1,0,KombiDoğalgaz,820000
1188,SULTANBEYLİ AHMET YESEVİ MAH DE HİSSE TAPULU 3+1 ARA KAT DAİRE,Sultanbeyli, Ahmet Yesevi Mahallesi,Konut,3+1,11-20,6,2. Kat,130,1,1,0,KombiDoğalgaz,275000
1189,ESENYURT YEŞİLKENT MAH. 1+1 EŞYALI İNNOVİA 3 YÜKSEK KATTA SATILIK,Esenyurt, Yeşilkent Mahallesi,Konut,1+1,5-10,27,16. Kat,75,1,1,1,Merkezi(PayÖlçer),330000
1190,KADIKÖY DE AYDINLIK FERAH HALİTAĞAYA YAKIN 2+1,Kadıköy, Rasimpaşa Mahallesi,Konut,2+1,20,5,2. Kat,90,1,1,0,KombiDoğalgaz,535000
1191, YENİ BİNADA GENİŞ KONFORLU 1+1 DAİRE,Beyoğlu, Hacıahmet Mahallesi,Konut,1+1,4,3,Yüksek Giriş,65,1,1,0,KombiDoğalgaz,350000
1192,ev almak gayrimenkulden satılık 4+3.dubleks ,Küçükçekmece, Atatürk Mahallesi,Konut,5+2,5-10,4,Çatı Dubleks,240,2,3,0,KombiDoğalgaz,825000
1193,FEVZİÇAKMAK SATILIK KÖŞE BAŞI DAİRE KREDİLİ,Bağcılar, Fevzi Çakmak Mahallesi,Konut,2+1,11-20,5,1. Kat,117,1,1,0,KombiDoğalgaz,589000
1194,CT GAYRİMENKUL'DEN DENIZ MANZARALI DUBLEX,Kartal, Petroliş Mahallesi,Konut,5+2,0,6,6. Kat,250,3,1,0,KombiDoğalgaz,1400000
1195,SATILIK İSKANLI DUBLEKS DAİRE,Kağıthane, Çeliktepe Mahallesi,Konut,2+1,5-10,4,4. Kat,125,2,1,0,KombiDoğalgaz,475000
1196,3+1 dubleks daire albatrosta,Büyükçekmece, Atatürk Mahallesi,Konut,3+1,11-20,4,4. Kat,150,1,1,0,KombiDoğalgaz,900000
1197,Satılık 2+1 daire albatrosta,Büyükçekmece, Atatürk Mahallesi,Konut,2+1,11-20,4,2. Kat,100,1,1,0,KombiDoğalgaz,550000
1198,MADENDE SATILIK DENİZ MANZARALI BAHÇE DUBLEKSİ,Sarıyer, Maden Mahallesi,Konut,4+1,4,2,Bahçe Katı,250,3,1,0,KombiDoğalgaz,4500000
1199,Mimarsinan mahallesi 120 m2 bahçe dubleks,Sultanbeyli, Mimar Sinan Mahallesi,Konut,2+2,3,4,Yüksek Giriş,130,1,1,0,KombiDoğalgaz,285000
1200,ATATÜRK CADDESİ ÜZERİNDE 5+1 ,Sancaktepe, Kemal Türkler Mahallesi,Konut,5+1,5-10,4,Çatı Dubleks,200,2,1,0,KombiKömür,780000
1201,SATILIK KAT 3+1 KAT 1,Zeytinburnu, Gökalp Mahallesi,Konut,3+1,20,5,1. Kat,140,1,1,0,KombiDoğalgaz,660000
1202,EYÜPSULTAN MERKEZ MAHALLESİNDE SATILIK  2+1 100 M2 DAİRE ,Eyüpsultan, Merkez Mahallesi,Konut,2+1,5-10,5,2. Kat,100,1,1,0,KombiDoğalgaz,600000
1203,İNNOVİA 2 EŞYALI SATILIK HAVUZ CEPHE 1+1 HEMEN TAPU TESLİM,Esenyurt, Yeşilkent Mahallesi,Konut,1+1,5-10,25,2. Kat,68,1,1,0,Merkezi(PayÖlçer),388000
1204,şirinevlerde sıfır 2+1 satılık daire,Bahçelievler, Şirinevler Mahallesi,Konut,2+1,1,5,1. Kat,85,1,1,0,KombiDoğalgaz,605000
1205, ESNYURT İSTİKLAL MAHALLESİNDE TERASLI 4+2 SATILIK DUBLEX,Esenyurt, İstiklal Mahallesi,Konut,4+2,5-10,6,Çatı Dubleks,230,2,1,0,KombiDoğalgaz,515000
1206,Gaziosmanpaşa Meydana Yakın 3+1 140m2 Daire,Gaziosmanpaşa, Merkez Mahallesi,Konut,3+1,11-20,3,1. Kat,140,1,1,0,KombiDoğalgaz,680000
1207, SIFIR LÜXKS 2+1 90 M2,Bahçelievler, Zafer Mahallesi,Konut,2+1,0,4,2. Kat,93,1,1,0,KombiDoğalgaz,550000
1208,ÇEKMEKÖY ÇAMLIKTA 3+1 FIRSAT DAİRE,Çekmeköy, Çamlık Mahallesi,Konut,2+1,5-10,6,5. Kat,140,1,1,0,KombiDoğalgaz,630000
1209, SANCAKTEPE FATİH MAHALLESİNDE 2+1 SATILIK KELEPİR DAİRE ,Sancaktepe, Fatih Mahallesi,Konut,2+1,1,4,Yüksek Giriş,110,1,1,0,KombiDoğalgaz,250000
1210,İNNOVİA 3 KELEPİR SATILIK 1+0 HEMEN TAPU TESLİM,Esenyurt, Yeşilkent Mahallesi,Konut,Stüdyo,5-10,25,12. Kat,48,1,1,0,Merkezi(PayÖlçer),205000
1211,GG Murat'tan Cihangir'de Yeni Projede Satılık 2+1 Daire,Beyoğlu, Gümüşsuyu Mahallesi,Konut,2+1,0,5,5. Kat,110,2,1,0,KombiDoğalgaz,1850000
1212,  CLK GAYRİMENKUL'DEN TAŞDELEN MAH.  85m2 SATILIK DAİRE,Çekmeköy, Güngören Mahallesi,Konut,3+1,4,5,1. Kat,100,1,1,0,KombiDoğalgaz,550000
1213,Beylikdüzü Yakuplu Mahallesi Satılık 2+1 Daire,Beylikdüzü, Yakuplu Mahallesi,Konut,2+1,5-10,3,1. Kat,90,1,1,0,KombiDoğalgaz,425000
1214,MERKEZ MAHALLESİNDE 2+1 SATILIK DAIRE!!,Avcılar, Merkez Mahallesi,Konut,2+1,0,5,1. Kat,80,1,1,0,KombiDoğalgaz,600000
1215,ev almak gayrimenkulden satılık ,Küçükçekmece, Mehmet Akif Mahallesi,Konut,1+1,4,4,Yüksek Giriş,65,1,1,0,KombiDoğalgaz,275000
1216,hedeften konaklarda C Tipi 3 + 1 hemen teslim fırsat,Bakırköy, Ataköy 2-5-6. Kısım Mahallesi,Konut,3+1,5-10,5,5. Kat,181,2,1,0,KombiDoğalgaz,6450000
1217, DENİZKOŞKLERDE SATILIK 2+1 DAIRE!!!!,Avcılar, Denizköşkler Mahallesi,Konut,2+1,5-10,5,1. Kat,100,1,1,0,KombiDoğalgaz,440000
1218,tarihi konak durumu iyi,Fatih, Cibali Mahallesi,Konut,6+2,20,3,Villa Tipi,600,3,1,0,MerkeziDoğalgaz,17000000
1219, REŞİTPAŞA CADDESİNDE 2+1 SATILIK DAİRE!!,Avcılar, Merkez Mahallesi,Konut,2+1,0,5,1. Kat,90,1,1,0,KombiDoğalgaz,650000
1220,ÇEKMEKÖY METROYA YAKIN 2+1 SIFIR BALKONLU SATILIK DAİRE,Çekmeköy, Mehmet Akif Mahallesi,Konut,2+1,0,4,Yüksek Giriş,90,1,1,0,KombiDoğalgaz,519000
1221,Ataşehir İlçesi Barbaros Mah Satılık Bina,Ataşehir Satılık Bina, Barbaros Mahallesi Satılık Bina,Konut,2+1,20,3,Müstakil,1000,1,1,0,KombiDoğalgaz,10000000
1222,LİBADİYE CADDESİNE 50 METRE ÖZEL LÜKS YAPILMIŞ TERS DUBLEX 4+1,Üsküdar, Cumhuriyet Mahallesi,Konut,4+1,11-20,4,Yüksek Giriş,155,2,1,0,KombiDoğalgaz,1100000
1223,DÜNYAN EMLAK -PARK MAVERA1 SATILIK 4+1 DAİRE MEYDAN CAMİ MANZARA,Başakşehir, Kayabaşı Mahallesi,Konut,4+1,3,21,11. Kat,208,2,1,0,Merkezi(PayÖlçer),3800000
1224,EMLAKVAR ADİL MAHALLESİNDE GENİŞ KULLANIŞLI 2+1 ARAKAT,Sultanbeyli, Adil Mahallesi,Konut,2+1,0,4,1. Kat,85,1,1,0,KombiDoğalgaz,420000
1225,EMLAKVAR ABDURRAHMANGAZİ'DE 2+1 MASRAFSIZ TEMİZ ARAKAT DAİRE,Sancaktepe, Abdurrahmangazi Mahallesi,Konut,2+1,3,4,2. Kat,85,1,1,0,KombiDoğalgaz,390000
1226,TURYAP TAÇTAN BEYLİKDÜZÜ MERKEZİ KONUMDA SATILIK 3+1,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,3+1,11-20,15,8. Kat,185,2,1,0,KombiDoğalgaz,1070000
1227,HSN GRUP'TAN HALİFE CADDESİ ÜZERİNDE İSKANLI KOMBİLİ 2+1 ARAKAT.,Sancaktepe, Merve Mahallesi,Konut,2+1,3,4,2. Kat,90,1,1,0,KombiDoğalgaz,327000
1228, Haseki Hastanesi Ve Cebeci Şehir Parkına Komşu 2+1 Daire Çift WC,Sultangazi, Esentepe Mahallesi,Konut,2+1,5-10,5,Kot 2 (-2). Kat,110,1,2,0,KombiDoğalgaz,245000
1229,İstanbul Esenyurt Hayrettin paşa mah Satılık 2+1 Residence sıfır,Esenyurt, Barbaros Hayrettin Paşa Mahallesi,Konut,2+1,0,12,6. Kat,120,1,1,0,KombiDoğalgaz,1250000
1230, MARİN İNŞAAT'TAN METROBÜSE YAKIN YATIRIM İÇİN BİRE BİR DAİRELER!,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,2,5,1. Kat,110,1,1,0,KombiDoğalgaz,193000
1231, REAL YAPI İLE İNANILMAZ AMA GERÇEK FİYATLAR SİZLERLE !!,Beylikdüzü, Beylikdüzü OSB Mahallesi,Konut,3+1,0,7,3. Kat,135,1,2,0,KombiDoğalgaz,193000
1232, VİLLA FOR SALE İN BEYLİKDÜZÜ 5+2 WİTH İNDEPENDANT PRİVATE POOL,Beylikdüzü, Sahil Mahallesi,Konut,5+2,0,3,Villa Tipi,365,5,1,0,KombiDoğalgaz,5000000
1233, BAHÇELİEVLER CUMHURİYET MAH ÇİFT CEPHELİ 2+1 BAHÇEKAT DAİRE,Bahçelievler, Cumhuriyet Mahallesi,Konut,2+1,11-20,4,Bahçe Katı,85,1,2,0,KombiDoğalgaz,280000
1234, maltepe satılık daire adatepe sahilde kombili 1+1 otoparklı,Maltepe, Feyzullah Mahallesi,Konut,1+1,20,4,Düz Giriş,55,1,1,0,KombiDoğalgaz,258000
1235, ESENYURT İNCİRTEPE'DE 2+1 ACİL SATILIK BAHÇE KATI DAİRE,Esenyurt, İncirtepe Mahallesi,Konut,2+1,5-10,5,Bahçe Katı,125,1,1,0,KombiDoğalgaz,185000
1236,"DÜNYAN EMLAK , PARK MAVERA 1 SATILIK 4+1 DAİRE",Başakşehir, Kayabaşı Mahallesi,Konut,4+1,2,21,14. Kat,208,2,1,0,Merkezi(PayÖlçer),3700000
1237,Gaziosmanpaşa Meydan'da Cadde Üzerinde Satılık 2+1 75m2 Daire,Gaziosmanpaşa, Merkez Mahallesi,Konut,2+1,20,3,2. Kat,80,1,1,0,KombiDoğalgaz,380000
1238,Dumankaya Konsept'de Satılık Ara Kat 167 m2 Köşe Daire,Küçükçekmece, Atakent Mahallesi,Konut,3+1,5-10,9,5. Kat,167,2,1,0,Merkezi(PayÖlçer),1950000
1239, Yenibosna Kocasinan merkez mahallesinde satılık daire bahçekatı ,Bahçelievler, Kocasinan Merkez Mahallesi,Konut,3+1,11-20,4,Bahçe Katı,115,1,1,0,KombiDoğalgaz,290000
1240, ESENYURT PINAR MAHALLESİNDE SATILIK 2+1 DAİRE,Esenyurt, Pınar Mahallesi,Konut,2+1,0,6,Bahçe Katı,85,1,1,0,KombiDoğalgaz,210000
1241, SİMA YAPI'DAN ULAŞIMA ÇOK YAKIN ACİL SATILIK 2+1 BAHÇE KATI,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,0,4,Bahçe Katı,100,1,2,0,KombiDoğalgaz,139000
1242,EMLAKVAR ÇEVRENİN EN GENİŞ 2+1 DAİRESİ,Sultanbeyli, Adil Mahallesi,Konut,2+1,0,6,2. Kat,90,1,1,0,KombiDoğalgaz,467000
1243,BOSTANCI SAHİLE MARMARAY'a YÜRÜME MESAFESİ İÇİ YAPILI 4.KAT 2+1,Maltepe, Altıntepe Mahallesi,Konut,2+1,20,4,4. Kat,60,1,1,0,KombiDoğalgaz,399000
1244, MÜSLÜM EMLAKTAN  FERAH 3+1 DAİRE,Avcılar, Cihangir Mahallesi,Konut,3+1,20,6,5. Kat,120,1,1,0,KombiDoğalgaz,300000
1245,Ihlamurkuyu Mahallesinde Bodrum Sokakta Satılık 2+1,Ümraniye, Ihlamurkuyu Mahallesi,Konut,2+1,20,3,3. Kat,100,1,1,0,KombiDoğalgaz,265000
1246, BEYLİKDÜZÜ ALBAYRAK'TAN METROBÜSE YAKIN ŞIK TASARIMLI 2+1 DAİRE,Beylikdüzü, Yakuplu Mahallesi,Konut,2+1,3,6,Yüksek Giriş,100,1,1,0,KombiDoğalgaz,305000
1247,Sahibinden  YAKUPLU'DA SAHİBİNDEN SIFIRA YAKIN DAİRE,Beylikdüzü, Yakuplu Mahallesi,Konut,2+1,5-10,5,4. Kat,100,1,1,0,KombiDoğalgaz,500000
1248, BEYLİKDÜZÜNDE MERKEZİ KONUMDA 2+1 HAFTANIN FIRSATI ARAKAT DAİRE,Beylikdüzü, Kavaklı Mahallesi,Konut,2+1,4,4,3. Kat,105,1,1,0,DoğalgazSobalı,459000
1249, BARIŞ'TAN YENİ BİNADA İSKANLI LÜKS DAİRE,Küçükçekmece, Cennet Mahallesi,Konut,2+1,0,4,1. Kat,95,1,1,0,KombiDoğalgaz,620000
1250,BULGURLU DA CADDEYE METROYA YAKIN ARAKAT 3+1,Üsküdar, Bulgurlu Mahallesi,Konut,3+1,5-10,5,3. Kat,120,1,1,0,KombiDoğalgaz,1000000
1251,ERHAN GAYRİMENKUL İNŞAATTAN SULTANÇİFTLİĞİ MAH 2+1SATILIK ,Sultangazi, Sultançiftliği Mahallesi,Konut,2+1,5-10,5,1. Kat,100,1,1,0,KombiDoğalgaz,415000
